Year,Revenue,EBITDA,Depreciation,EBIT,NOPAT,Capex,ΔWorkingCapital,FCFF
2025,34992.07814935388,12924.324064463857,1093.1525213858154,11831.171543078042,9882.340966502228,2641.7269398854714,1023.1683650871074,7310.598182915464
2026,43323.421630847835,16001.505779353649,1353.4236917476865,14648.082087605962,12235.25000613551,3270.7017160208575,1266.7768484859907,9051.195133376346
2027,53638.39363278488,19811.340688269094,1675.6634170881996,18135.677271180895,15148.368511071978,4049.430527307095,1568.3866298226299,11206.214771030453
2028,66409.28078166833,24528.2678567092,2074.6259316193186,22453.641925089883,18755.07802718908,5013.568652612052,1941.8073700559821,13874.327936140364
2029,82220.81750119496,30368.25894406636,2568.578338737331,27799.68060532903,23220.517216019234,6207.260617252714,2404.1367037349405,17177.69823376891
