Year,Revenue,EBITDA,Depreciation,EBIT,NOPAT,Capex,ΔWorkingCapital,FCFF
2025,33646.24251948311,11754.314824181423,1051.1086163086522,10703.20620787277,8940.174081311969,2419.164837150836,983.816131269686,6588.3017292000995
2026,40054.97085153586,13993.204066984052,1251.3172894019801,12741.88677758207,10643.043187578753,2879.9524042254284,1171.2073476989085,7843.200725056397
2027,47684.3941485694,16658.54309580272,1489.6604732013082,15168.882622601413,12670.264277006509,3428.5079392821403,1394.2916849041692,9337.125126021507
2028,56767.02284328173,19831.559430300473,1773.4017936241214,18058.15763667635,15083.617910763023,4081.5489424319567,1659.8677479375579,11115.60301401763
2029,67579.65451861253,23608.952306077288,2111.1884071614554,21497.763898915833,17956.65222948642,4858.977159888242,1976.0290981242304,13232.834378635402
