Year,Revenue,EBITDA,Depreciation,EBIT,NOPAT,Capex,ΔWorkingCapital,FCFF
2025,32300.406889612328,10315.134940197699,1009.0647112314891,9306.07022896621,7773.1743408508955,2206.2792925949702,1038.9102871974908,5537.049472289923
2026,36914.69329879508,11788.707304970208,1153.2150186543583,10635.49228631585,8883.613996913904,2521.458125774198,1187.3241952624448,6328.04669453162
2027,42188.15527622172,13472.787387461407,1317.9579708291665,12154.829416632241,10152.685915124579,2881.6619461423247,1356.9398263043952,7232.042113507025
2028,48214.95958815644,15397.44734447776,1506.2353375340072,13891.212006943751,11603.051565159976,3293.322814669026,1550.7859601934636,8265.178127831496
2029,55102.725228609524,17597.055301756453,1721.4091361417616,15875.646165614691,13260.609729214639,3763.7916467401737,1772.3240542529966,9445.90316436323
